slug,alpha,h_inf,bpc_32768,role,domain,source,beta,scaffold_frac,gamma_naive,gamma,gamma_star,margin,learnability,region,health
agentgym-agenttraj-l,0.1001835777640584,0.0,0.6681186018318965,TRAIN,mixed,distill,0.5394,0.7734,0.1080780436918662,0.7734,0.11041606490672554,-0.6629839350932745,0.06935552148913868,chaos,pooled
agentinstruct-all,0.1052553311590041,0.0,1.2441585286458334,TRAIN,mixed,distill,0.6828,0.5912,0.143736680230736,0.5912,0.17288837866360934,-0.4183116213363906,0.11757836303436517,chaos,pooled
mind2web-actions,0.4204276166867677,1.6963279634071835,2.1229154146634617,EVAL_TASK,web,human_demo,0.7741,0.036,0.6509060361544537,0.036,0.20614563308556066,0.17014563308556066,0.23351636456745217,emergent,healthy
nebius-swe-agent-traj,0.1528784367131849,0.0,1.3220939636230469,TRAIN,swe,distill,0.5389,0.5899,0.1647723790894707,0.5899,0.11017030767868824,-0.47972969232131174,0.10545651921356754,chaos,pooled
swe-bench-verified,0.3343551075217906,1.566764951212698,2.217845394736842,EVAL_TASK,swe,human_task,0.5095,0.0732,0.3407078545647046,0.0732,0.09530376202537022,0.02210376202537022,0.2043123802034976,emergent,healthy
swe-smith-traj-xml,0.2854658052793455,0.5552212632048479,1.617145538330078,TRAIN,swe,frontier,0.4873,0.1695,0.2782149738252501,0.1695,0.08349803777984074,-0.08600196222015927,0.18301132028636102,chaos,mid
swe-gym-tasks,0.3945394477626058,1.2205698800555476,1.703290939331055,EVAL_TASK,swe,human_task,0.4712,0.018,0.3718139755714797,0.018,0.07459474863913859,0.05659474863913859,0.21109968058047907,emergent,healthy
swe-rebench-test,0.2993852096956531,0.8414458692257585,1.8130149841308596,EVAL_TASK,swe,human_task,0.5039,0.0228,0.30172041433127916,0.0228,0.0923749775266701,0.06957497752667009,0.21366315971564093,emergent,healthy
code-act-codeact,0.1332050067750577,0.0,1.7294644442471592,TRAIN,mixed,distill,0.3564,0.2735,0.09494852882926112,0.2735,0.0005990804028470631,-0.27290091959715296,0.14616250718893925,chaos,pooled
swe-rebench-oh-traj,0.2941719871193061,0.6730966898936961,1.362165451049805,TRAIN,swe,frontier,0.057,0.163,0.0335356065316009,0.163,-0.4851465629541104,-0.6481465629541104,0.07206498021698124,chaos,healthy
swe-gym-oh-sft-traj,0.3492973550954838,1.106923423087189,1.760122299194336,TRAIN,swe,frontier,0.4167,0.1519,0.29110441573657625,0.1519,0.042021983753261744,-0.10987801624673826,0.17829286886903994,chaos,healthy
swe-zero-oh-traj,0.3150675107931763,1.211842703308288,1.997023582458496,TRAIN,swe,frontier,0.493,0.198,0.31065656564207184,0.198,0.08657978219104656,-0.11142021780895345,0.17800502871166693,chaos,healthy
agenttrek,0.3365618500984194,0.8489581539852947,1.6539888381958008,TRAIN,web,distill,0.5281,0.3385,0.3554766260739506,0.3385,0.1048055508936489,-0.23369444910635112,0.15392353891221824,chaos,healthy
nnetnav-wa,0.309435678348084,0.4627349150732432,1.448507308959961,TRAIN,web,mid,0.5803,0.5445,0.3591310482907863,0.5445,0.12978433203682282,-0.41471566796317716,0.11827131345481447,chaos,mid
swe-hero-oh-traj,0.3181935605673664,0.8088993024650116,1.475642204284668,TRAIN,swe,frontier,0.0662,0.2305,0.04212882741911931,0.2305,-0.4454948262503813,-0.6759948262503813,0.06659308712115118,chaos,healthy
agentbank-all,0.4819411339139992,0.1458501433994205,0.5509872436523438,TRAIN,mixed,distill,0.5299,0.1409,0.5107612137220564,0.1409,0.10570725308689358,-0.03519274691310642,0.1930286974960171,chaos,mid
lumos-ground-iter,0.2111500079871822,0.0,0.7568939208984375,TRAIN,mixed,distill,0.3973,0.3666,0.16777979634661497,0.3666,0.029388141717180294,-0.3372118582828197,0.13350357287474918,chaos,pooled
nnetnav-live,0.4259254298354659,1.365819882236757,1.8307342529296875,TRAIN,web,frontier,0.6238,0.1835,0.5313845662627272,0.1835,0.14893974917576497,-0.03456025082423503,0.1931687976675189,chaos,healthy
swe-gym-oh-sampled-traj,0.3335015129201039,1.1002071585940163,1.8221654891967771,TRAIN,swe,frontier,0.4315,0.4958,0.28781180565004966,0.4958,0.05127074135845658,-0.44452925864154347,0.11236988970961236,chaos,healthy
swe-gym-oh-verifier-traj,0.3394041154000187,1.0722100535117742,1.734541893005371,TRAIN,swe,frontier,0.2127,0.2084,0.14438251069116795,0.2084,-0.13618622754562554,-0.3445862275456255,0.13199146528061806,chaos,healthy
weblinx-actions,0.4888424258047844,1.9484579586185309,2.237884521484375,EVAL_TASK,web,human_demo,0.262,0.0956,0.256153431121707,0.0956,-0.08094385543357563,-0.17654385543357565,0.1651156164559396,chaos,healthy
taubench-traces-jkazdan,0.2628515417566267,0.0,1.398126775568182,EVAL_TRAJ,tool,distill,0.3023,0.0244,0.15892004214605654,0.0244,-0.043028874957132035,-0.06742887495713204,0.18662485977261128,chaos,pooled
rlenv-appworld-train,-0.1657403382049308,9.937885438753428,0.4573567708333333,EXCLUDED,tool,synth_task,0.4147,0.9335,-0.13746503650716962,0.9335,0.04074702339160263,-0.8927529766083974,0.02406604461653139,chaos,healthy
toolbench-toolllama-dfs,0.1915213110330585,0.0,1.563197135925293,TRAIN,tool,distill,0.5529,0.2089,0.21178426574035608,0.2089,0.1169667967058638,-0.0919332032941362,0.18185486402911955,chaos,pooled
openhands-feedback,0.361043071146847,0.744701450735196,1.3382024765014648,TRAIN,swe,frontier,0.0053,0.0204,0.0038270565541565784,0.0204,-1.1146128414823762,-1.1350128414823761,-0.024073334375578414,chaos,healthy
mind2web-fullobs,0.427103888085302,0.297305863472677,0.6672458648681641,EVAL_TASK,web,human_demo,0.5347,0.0845,0.4567448979184219,0.0845,0.10809689918772544,0.023596899187725437,0.2046111144434643,emergent,mid
weblinx-fullobs,0.2030228346071179,0.0,1.1108026504516602,EVAL_TASK,web,human_demo,0.4276,0.042,0.17362512815600722,0.042,0.048864718544719576,0.006864718544719574,0.2012936406788258,emergent,pooled
nemotron-agentic-v1,-0.0787904560967823,15.165712089847984,1.4140872955322266,EXCLUDED,tool,distill,0.5231,0.5712,-0.08243057516845365,0.5712,0.10228460341952353,-0.46891539658047654,0.10758410852392859,chaos,healthy
apigen-mt-5k,0.1779596896445395,0.0,1.451669692993164,TRAIN,tool,distill,0.296,0.0352,0.10535213626956738,0.0352,-0.048609893534390325,-0.08380989353439033,0.18339579837038258,chaos,pooled
agent-flan-all,0.1129468218704964,0.0,1.2281348818824405,TRAIN,mixed,distill,0.6175,0.204,0.13948932501006306,0.204,0.14624980422279876,-0.057750195777201224,0.18859941419189574,chaos,pooled
scienceworld-expert-traj,0.2507221085238627,0.0,0.8869229983660131,TRAIN,embodied,distill,0.6092,0.5238,0.3054798170254743,0.5238,0.14266370564030048,-0.38113629435969953,0.12489106718863285,chaos,pooled
fireact-multitask,0.3973007096231174,1.8016579615684007,2.274053664434524,TRAIN,tool,frontier,0.7957,0.0628,0.632264349294229,0.0628,0.21343874212135833,0.15063874212135833,0.2296761215582907,emergent,healthy
r2e-gym-swe-agent-lm-traj,0.2319149207792792,0.006834865781049,1.5928773880004885,TRAIN,swe,mid,0.5268,0.0772,0.24434556053304857,0.0772,0.1041524080850521,0.0269524080850521,0.20527073563338952,emergent,mid
r2e-gym-lite-tasks,0.3813968310647402,0.8901258628695699,1.432908058166504,EVAL_TASK,swe,synth_task,0.603,0.0839,0.45996457826407666,0.0839,0.13995290820243783,0.05605290820243783,0.21101636829806603,emergent,healthy
glaive-fc-v2,0.2796940710201797,1.0501678575112705,2.0768503042367787,TRAIN,tool,frontier,0.2705,0.1706,0.15131449242191722,0.1706,-0.07248304288433416,-0.24308304288433416,0.15201042964962008,chaos,healthy
hermes-fc-multiturn,0.258785495872496,0.776732661472108,2.031869888305664,TRAIN,tool,frontier,0.5076,0.1142,0.26271903540975794,0.1142,0.09431369106739534,-0.01988630893260465,0.1960399812936784,chaos,healthy
aguvis-s2-androidctl-text,-0.0311826917699429,34.56605178490962,0.4625079815204327,EXCLUDED,gui,human_demo,0.4094,0.9819,-0.025532388021229244,0.9819,0.03733840947493883,-0.9445615905250612,0.013858525719016218,chaos,healthy
ii-agent-gaia-traj,0.1974254051026348,1.2535433745879787,3.049951171875,EVAL_TRAJ,search,frontier,0.0846,0.1036,0.0334043785433658,0.1036,-0.3805025682780392,-0.4841025682780392,0.10441916105305114,chaos,healthy
deep-research-sft-0406,0.1787809677332807,0.0,2.453004837036133,TRAIN,search,distill,0.837,0.5762,0.29927933998551187,0.5762,0.22684822974944466,-0.3493517702505554,0.13118279779583378,chaos,pooled
fractal-deepresearch-sft,0.1796063119494571,0.0,2.29287338256836,TRAIN,search,distill,0.7797,0.0828,0.2800780828539834,0.0828,0.20805579710335556,0.12525579710335555,0.2246737516547377,emergent,pooled
swe-zero-12m-traj,0.2639444250656796,0.7975583043746213,1.92752742767334,TRAIN,swe,frontier,0.2812,0.5062,0.14844234465693823,0.5062,-0.062202616547091194,-0.5684026165470912,0.08792615907391373,chaos,healthy
kwai-klear-mini-swe-66k,0.2336585523333863,0.2615127102016765,1.7966012954711914,TRAIN,swe,mid,0.6213,0.2675,0.29034411712946584,0.2675,0.14787557619319044,-0.11962442380680957,0.17641077409397682,chaos,mid
toucan-15m-kimi-k2,0.3740532460254607,1.3442133573079786,1.9215259552001955,TRAIN,tool,frontier,0.1952,0.0088,0.14603038724833986,0.0088,-0.1589386103258334,-0.1677386103258334,0.16682228935833554,chaos,healthy
jetbrains-swe-test-minus-verified,0.3460008392238601,1.62514230732656,2.234987258911133,TRAIN,swe,frontier,0.5162,0.1637,0.3572112664147132,0.1637,0.09876583720012977,-0.06493416279987024,0.18716715013421428,chaos,healthy
dcagent-glm47-terminus2,0.3071616027491137,0.9126038403924984,1.8172473907470703,TRAIN,terminal,frontier,0.4866,0.2421,0.29892967179543745,0.2421,0.08311709511233059,-0.15898290488766942,0.168633938016509,chaos,healthy
aider-polyglot-qwen3coder30b,0.2305815007542208,0.0826381948332746,1.6486167907714844,EVAL_TRAJ,swe,mid,0.3739,0.1586,0.1724288462640063,0.1586,0.013301772295246761,-0.14529822770475323,0.1713047912869487,chaos,mid
aider-polyglot-sweagentlm7b,0.2628023793640045,0.0,0.5048322677612305,EVAL_TRAJ,swe,mid,0.4034,0.0497,0.21202895967087884,0.0497,0.03342593683256323,-0.01627406316743677,0.19672976602393608,chaos,pooled
aider-polyglot-r2egym32b,0.1848228288671959,0.0,0.8637514114379883,EVAL_TRAJ,swe,mid,0.4574,0.5414,0.16907592384771078,0.5414,0.06671779569073408,-0.4746822043092659,0.10643529703632222,chaos,pooled
miroverse-agentic-sft-new,0.2451479084786971,1.2079353210365815,2.492417335510254,TRAIN,search,frontier,0.3342,0.2233,0.16385686202716115,0.2233,-0.01644415064752358,-0.23974415064752358,0.15268828083446986,chaos,healthy
aider-polyglot-qwen32b-ntc1k,0.221453308464867,0.0,1.4186515808105469,EVAL_TRAJ,swe,mid,0.387,0.0774,0.17140486075180705,0.0774,0.022427394722625893,-0.054972605277374104,0.18910221035469182,chaos,pooled
aider-polyglot-qwen32b-ntc100k,0.2120211001470308,0.0,1.616715431213379,EVAL_TRAJ,swe,mid,0.3971,0.1278,0.16838715773677185,0.1278,0.029254707676093228,-0.09854529232390677,0.1805208385338101,chaos,pooled
rebel-alfworld-sft,0.1081362070593959,0.0,0.8919706344604492,TRAIN,embodied,distill,0.4799,0.1026,0.10378913153560819,0.1026,0.07944295451874667,-0.02315704548125333,0.1953903151748319,chaos,pooled
smolagents-gaia-traces,0.3014008930032536,1.436264201229077,2.3416996002197266,EVAL_TRAJ,search,frontier,0.493,0.0856,0.29718128050120807,0.0856,0.08657978219104656,0.000979782191046566,0.20014782871166695,emergent,healthy
toucan-15m-oss,0.3821822682754303,0.5694290851336049,1.2505264282226562,TRAIN,tool,frontier,0.3629,0.1377,0.2773878903143073,0.1377,0.005388589337775251,-0.13231141066222474,0.17386035744288922,chaos,mid
toucan-15m-qwen3,0.3421726713902505,1.100105706852133,1.8395090103149412,TRAIN,tool,frontier,0.3825,0.0283,0.26176209361354164,0.0283,0.019327944185380197,-0.008972055814619802,0.19816320747507693,chaos,healthy
toucan-15m-sft,0.3147393091728564,0.9240969285252332,1.8270225524902344,TRAIN,tool,frontier,0.3102,0.0798,0.1952642674108401,0.0798,-0.036192577483520116,-0.11599257748352011,0.17706026112306375,chaos,healthy
agentnet-text,0.1357184872422519,0.0,1.842376708984375,TRAIN,gui,human_demo,1.299,0.0157,0.35259662985537044,0.0157,0.34332260548744253,0.32762260548744254,0.26458850478110657,emergent,pooled
agentnet-actions,0.422753689114838,1.4289313260688763,1.8141732564786583,TRAIN,gui,human_demo,0.2268,0.0898,0.19176107338249052,0.0898,-0.11917697738906308,-0.20897697738906307,0.15871258521717735,chaos,healthy
rebel-alfworld-actions,0.5162727285440404,0.4326304517356247,0.6698404947916666,TRAIN,embodied,distill,0.398,0.0484,0.41095309192105617,0.0484,0.029854632470109693,-0.018545367529890305,0.19628103878561032,chaos,mid
jetbrains-swe-assistant-only,0.2385354187464671,0.7153940663332634,2.15998649597168,TRAIN,swe,frontier,0.4715,0.0461,0.22493889987791849,0.0461,0.07476341311921442,0.028663413119214415,0.20559726794767894,emergent,healthy
swe-rebench-oh-assistant-only,0.2273624238609131,0.6572130957772133,2.202157020568848,TRAIN,swe,frontier,0.889,0.0919,0.4042503896247035,0.0919,0.2428206184809184,0.15092061848091842,0.22974218432661145,emergent,healthy
jetbrains-swesmith-subset,0.3016300654666834,1.248802568335457,2.097375869750977,TRAIN,swe,frontier,0.6449,0.2781,0.38904245843892826,0.2781,0.15775509656406161,-0.1203449034359384,0.17627238132188838,chaos,healthy
gdpval-tasks,0.2338050536878228,1.6694202955387718,2.8671061197916665,EVAL_TASK,mixed,human_task,1.0608,0.0466,0.49604080190408484,0.0466,0.2896411852191072,0.2430411852191072,0.24790672070550682,emergent,healthy
gui-odyssey-actions,0.3424116285679995,1.550095246467675,2.1469137257543105,EVAL_TASK,gui,human_demo,0.3029,0.2004,0.2074329645864941,0.2004,-0.0425034286514705,-0.2429034286514705,0.15205656106237014,chaos,healthy
cua-agentnet-gimp-text,0.187316409951251,0.0,1.027626953125,TRAIN,gui,human_demo,0.1267,0.4934,0.04746597828164701,0.4934,-0.27347229578858656,-0.7668722957885865,0.048751894076441205,chaos,pooled
android-control-text,0.505290077576577,1.2487404227304766,1.5264718191964286,EVAL_TASK,gui,human_demo,0.5319,0.1849,0.5375275845259626,0.1849,0.10670555903302575,-0.07819444096697425,0.18455772165066886,chaos,healthy
tiger-browseragent-sft,0.1838559514748067,0.0,1.5060672760009766,TRAIN,web,distill,0.3758,0.4358,0.13818613312846473,0.4358,0.014644979119265433,-0.4211550208807346,0.11696148455825503,chaos,pooled
saital-browser-reasoning-action,-0.0892294199300633,15.044449183941753,0.6052223061615566,EXCLUDED,web,distill,0.3926,0.7401,-0.0700629405290857,0.7401,0.02623454075795928,-0.7138654592420407,0.05930168294958971,chaos,healthy
saital-browser-action-only,-0.0398778105159627,29.7194221205766,0.4299919899929775,EXCLUDED,web,distill,0.3692,0.8715,-0.029445775284986857,0.8715,0.009949554266338423,-0.8615504457336616,0.03020190259671507,chaos,healthy
qwen35-9b-react-hotpot,0.1274305589273706,0.0,2.3800096142199614,TRAIN,search,mid,0.6837,0.2854,0.17424854627728656,0.2854,0.17323744567346697,-0.11216255432653302,0.17788985437253707,chaos,pooled
dcagent3-financeagent-a3rl,0.1907454687859683,0.0,1.9442682266235352,TRAIN,terminal,mid,0.2669,0.2096,0.10181993123794988,0.2096,-0.07603352398148949,-0.2856335239814895,0.14362671205950225,chaos,pooled
openthoughts-agent-v1-sft,0.1369656699514341,0.0,1.3776617050170898,TRAIN,terminal,distill,0.4809,0.3659,0.13173358135928934,0.3659,0.07999457836489218,-0.2859054216351078,0.1436290828244674,chaos,pooled
nl2bash-teacher-glm46,0.1345442708053432,0.0,1.373321533203125,TRAIN,terminal,frontier,0.4754,0.3659,0.12792469268172033,0.3659,0.07694633812514848,-0.2889536618748515,0.14302748673186894,chaos,pooled
nl2bash-teacher-qwen3coder480b,0.1560594697220406,0.0,1.377030372619629,TRAIN,terminal,frontier,0.397,0.3769,0.12391121895930024,0.3769,0.029187965451839187,-0.3477120345481608,0.1314349663891743,chaos,pooled
nl2bash-teacher-minimax-m27,0.1521048922420859,0.0,1.5749168395996094,TRAIN,terminal,frontier,0.4848,0.219,0.14748090351792648,0.219,0.08213500627983644,-0.13686499372016356,0.1729908144469262,chaos,pooled
inferredbugs-teacher-glm46,0.2270265533908725,0.0,1.3851556777954102,TRAIN,swe,frontier,0.6564,0.1599,0.2980404592915374,0.1599,0.16243899626195668,0.002538996261956694,0.20048218869622766,emergent,pooled
inferredbugs-teacher-glm46-131k,0.2445735053941614,0.2232997209437959,1.6217997782939189,TRAIN,swe,frontier,0.5428,0.1501,0.26550899745590156,0.1501,0.11208119697932292,-0.03801880302067709,0.19247424944157956,chaos,mid
inferredbugs-teacher-glm47,0.2271583137703709,0.0,1.4822444915771484,TRAIN,swe,frontier,0.6679,0.1335,0.3034380755344615,0.1335,0.16704154342860514,0.03354154342860513,0.2065913404577964,emergent,pooled
inferredbugs-teacher-minimax-m27,0.2545908624769542,0.1689376694271538,1.4954900741577148,TRAIN,swe,frontier,0.5811,0.1916,0.2958855003707162,0.1916,0.13014940872621455,-0.06145059127378544,0.18786466443917366,chaos,mid
inferredbugs-teacher-qwen35-122b,0.2528198902955563,0.2018794530218481,1.556563377380371,TRAIN,swe,frontier,0.5789,0.1171,0.2927148689841951,0.1171,0.12914423510724782,0.012044235107247822,0.2023427848909776,emergent,mid
inferredbugs-teacher-kimi25,0.25779812955903,0.2787176141614056,1.5506057739257812,TRAIN,swe,frontier,0.6193,0.1649,0.3193087632718145,0.1649,0.14702115017489772,-0.017878849825102267,0.19645434586470623,chaos,mid
inferredbugs-teacher-gpt5nano,0.2322270111526289,0.0,1.5314207077026367,TRAIN,swe,frontier,0.5431,0.1622,0.2522449795139855,0.1622,0.11222761930554562,-0.049972380694454394,0.19011944713086804,chaos,pooled
inferredbugs-tasks-clean,0.2364745889153183,0.0,0.8427959469193262,EVAL_TASK,swe,human_task,0.674,0.4747,0.3187677458578491,0.4747,0.16945083046149506,-0.30524916953850495,0.13985043370994787,chaos,pooled
coderforge-32b-swebench-verified-eval,0.2841811552869114,0.8315627803322722,1.728074073791504,EVAL_TRAJ,swe,mid,0.153,0.3003,0.08695943351779489,0.3003,-0.2234890997612709,-0.5237890997612709,0.09665720219805861,chaos,healthy
terminal-bench2-qwen3-32b,0.2822451079290917,0.0,0.9733800888061525,EVAL_TRAJ,terminal,mid,0.3251,0.085,0.18351576917549542,0.085,-0.023759949693153537,-0.10875994969315354,0.1784895457775399,chaos,pooled
