slug,n_ep,scaffold_m,structure_m,neardup_m,reuse_m
nebius-swe-agent-traj,25,0.659967810084155,0.20226161107704593,0.21591843276052047,0.3987726507948255
swe-smith-traj-xml,25,0.15996391442490637,0.2295163388387402,0.08729355047183568,0.3845999404857268
agentinstruct-all,25,0.6121612333071484,0.15534270750313106,0.42237731560987885,0.35208789913865635
agentgym-agenttraj-l,25,0.6545589766473301,0.09853215326419432,0.3127191748926339,0.30696856398615036
swe-bench-verified,25,0.09681420423470584,0.22385220624261465,0.007166907856023803,0.29691911564624623
mind2web-actions,25,0.03373165935561942,0.21898815535763475,0.0021381466010569317,0.4605463481847334
swe-gym-tasks,25,0.05560176937439976,0.23474604819349035,0.002827401388927323,0.27439326378212753
swe-rebench-test,25,0.13570590876789132,0.2214012113104414,0.007939216196840933,0.29061469381349414
code-act-codeact,25,0.4057855626326964,0.1304207283196121,0.16639264412247778,0.35085767349894165
swe-rebench-oh-traj,25,0.19952744007378298,0.31901586200985316,0.12587031253305822,0.3329632803545755
swe-gym-oh-sft-traj,25,0.40391082326566197,0.20397773716259035,0.15792119195916132,0.3360151449996495
swe-zero-oh-traj,25,0.19560840513223443,0.19300144567594618,0.119434478391295,0.32694155656577434
agenttrek,25,0.9595891401049983,0.20302255930385027,0.3667687250737096,0.3021460372322682
nnetnav-wa,25,0.5582124905710922,0.2702583883309171,0.2335341877585069,0.26998355388962364
swe-hero-oh-traj,25,0.32329716264817004,0.3074511985980722,0.13613864018122904,0.31334575593577774
agentbank-all,25,0.3238972495410526,0.1366647327718663,0.10557778179280979,0.5788043679836818
lumos-ground-iter,25,0.41769871136959746,0.09248875958741073,0.3425950982009464,0.33123455909538957
nnetnav-live,25,0.8020662793919313,0.23232808455537945,0.2075342089365552,0.26773294662335073
swe-gym-oh-sampled-traj,25,0.5520398796174717,0.14372392870686387,0.4060955482378495,0.25370202420283333
swe-gym-oh-verifier-traj,25,0.45886882380056415,0.2629663849628563,0.1721000145884881,0.3546690736106465
weblinx-actions,25,0.22706411492037268,0.38371754428536764,0.008029064294126196,0.5491850261688387
taubench-traces-jkazdan,25,0.1887238113234287,0.3128679842107362,0.016534874311543258,0.4346353910604329
rlenv-appworld-train,25,0.9137507877019004,0.09902344126201437,0.8213486322054215,0.2729096729046055
toolbench-toolllama-dfs,25,0.20282422525899155,0.1762328668893032,0.267213902477694,0.3364175064085495
openhands-feedback,25,0.32080488568744125,0.2410483138889823,0.022503718261756688,0.35475884832793625
mind2web-fullobs,25,0.08840930291652317,0.35119005223687433,0.002186980536466159,0.7236407853908172
weblinx-fullobs,25,0.05049616297384823,0.3302812287953348,0.02810732680898871,0.46470627205593573
nemotron-agentic-v1,25,0.6304530712095551,0.10827847037400196,0.466111392632089,0.3077410623766312
apigen-mt-5k,25,0.07706871360072438,0.2896163445353764,0.013222368242737759,0.48965049391634724
agent-flan-all,25,0.22050659455879917,0.1188992595682553,0.18851863053093879,0.4699008859029496
scienceworld-expert-traj,25,0.5988297357690802,0.0871778263568402,0.2840270701263115,0.32564005068212526
fireact-multitask,25,0.1035457907330868,0.06541237113402062,0.009668335497742257,0.4746666828829458
r2e-gym-swe-agent-lm-traj,25,0.15221766236033682,0.22147570147322673,0.026033287233177913,0.3442990802762052
r2e-gym-lite-tasks,25,0.10899286068797007,0.2518358870585844,0.02769477271462838,0.26599781377296167
glaive-fc-v2,25,0.09930230859146698,0.10799424143625355,0.027837572160401804,0.3425941657887659
hermes-fc-multiturn,25,0.11658897681693588,0.17063813311745452,0.06772945306458775,0.39711304636281547
aguvis-s2-androidctl-text,25,0.9845944103612815,0.132624703087886,0.8487675953298598,0.3031329721303704
ii-agent-gaia-traj,25,0.18878344660548926,0.15282267202614536,0.007318087849378305,0.47493413219793934
deep-research-sft-0406,25,0.5006901634235897,0.17881335519259184,0.08532730357697363,0.3840286260443807
fractal-deepresearch-sft,25,0.08623593266706606,0.11570262695611466,0.037424829266154445,0.4444888910259069
swe-zero-12m-traj,25,0.7897714992175815,0.1989475643810115,0.438375681056864,0.3191562584699687
kwai-klear-mini-swe-66k,25,0.43559793249969436,0.15620892506747275,0.1400478596791163,0.3927017836536995
toucan-15m-kimi-k2,25,0.15381378467940363,0.2616587771266975,0.008645228585718815,0.33160170267425626
jetbrains-swe-test-minus-verified,25,0.22946136616799817,0.2324531013736328,0.11393494898467499,0.3087414090811289
dcagent-glm47-terminus2,25,0.28971003905053283,0.23812865588477786,0.09952882746602297,0.29550087163190303
aider-polyglot-qwen3coder30b,25,0.22894893327892388,0.2421260205247395,0.34994367407760996,0.3079406655599281
aider-polyglot-sweagentlm7b,25,0.10294249418748143,0.2187446024435723,0.06257684727014448,0.401363996334934
aider-polyglot-r2egym32b,25,0.252858033989076,0.2358318664605822,0.4134673998707433,0.26141822420318583
miroverse-agentic-sft-new,25,0.2734553079125566,0.12314897814590534,0.18050669895954893,0.32711580707474947
aider-polyglot-qwen32b-ntc1k,25,0.13424644221121368,0.23257207692083903,0.07405414931274797,0.4058834665830332
aider-polyglot-qwen32b-ntc100k,25,0.11043560610678196,0.22600545617269974,0.045723243437760734,0.4647371706118537
rebel-alfworld-sft,25,0.1772071863097955,0.21191385987965972,0.07098896407598275,0.5725637718321658
smolagents-gaia-traces,25,0.05530563830487425,0.17897283972952804,0.04334880555641984,0.44032963033148337
toucan-15m-oss,25,0.24670442460366532,0.330607052837389,0.056125143588030765,0.30965028910243264
toucan-15m-qwen3,25,0.22652859370435163,0.199974205449685,0.047220993031127825,0.32208895529508574
toucan-15m-sft,25,0.03282573849324479,0.2436936851007548,0.0015641602263535264,0.4412925161815602
agentnet-text,25,0.020617968088559875,0.06427688264398003,0.008590128692617991,0.4908572468348473
gui-odyssey-actions,25,0.23294845100637265,0.5413141567963903,0.00017033476884603893,0.4652859387861712
cua-agentnet-gimp-text,25,0.5186030143436158,0.25848591926330444,0.21449575158699755,0.34464835617357914
android-control-text,25,0.28125648654258634,0.1443559503752489,0.010424562843288026,0.5316035095196002
tiger-browseragent-sft,25,0.6375050350093844,0.2029693639355671,0.35697586645436097,0.22794698247077888
saital-browser-reasoning-action,25,0.7849007592913281,0.18405877091144396,0.44235355565288964,0.27386916537657713
saital-browser-action-only,25,0.9110984800639973,0.1907131801404929,0.5589396768761646,0.22246065726065814
qwen35-9b-react-hotpot,25,0.22773072881251158,0.08893209041731066,0.12204503522648982,0.42763012320778954
dcagent3-financeagent-a3rl,25,0.21484855066235095,0.2451497844033838,0.1993126509311705,0.2684737077611903
openthoughts-agent-v1-sft,25,0.40563627413883746,0.173358313100996,0.283863654668855,0.40289764776470677
nl2bash-teacher-glm46,25,0.4119079809686974,0.17365575342250444,0.28384522653931216,0.3966189796678131
nl2bash-teacher-qwen3coder480b,25,0.4050376764424948,0.17378974840966022,0.26217868301396197,0.3590100601916445
nl2bash-teacher-minimax-m27,25,0.29690715614178087,0.176133106806645,0.20772458989014084,0.41532852219828675
inferredbugs-teacher-glm46,25,0.3549004786333626,0.16699022132579372,0.16325411644928048,0.4429646847476993
inferredbugs-teacher-glm46-131k,25,0.3445540948931385,0.1770022534066424,0.12040106436985967,0.48178608361322894
inferredbugs-teacher-glm47,25,0.5031155203700339,0.17202833136418227,0.1907859862036232,0.48749057514449723
inferredbugs-teacher-minimax-m27,25,0.183881527607141,0.1569690418714342,0.13005095440051312,0.497733010365509
inferredbugs-teacher-qwen35-122b,25,0.12464161054333524,0.14666423011472568,0.09398117386780108,0.516392369587779
inferredbugs-teacher-kimi25,25,0.5582049343374583,0.18119931155536384,0.1683692819152772,0.42503317156609355
inferredbugs-teacher-gpt5nano,25,0.545630230699537,0.18493073058449244,0.14379800323921332,0.2968306940512984
inferredbugs-tasks-clean,25,0.645719319289302,0.15210777490554783,0.05464386543718078,0.4736674522813785
agentnet-actions,25,0.09654017857142858,0.34261010537692516,0.004538510600777947,0.4212046311326359
rebel-alfworld-actions,25,0.5964972527472527,0.09038262668045502,0.037126168897049866,0.5341801242236025
jetbrains-swe-assistant-only,25,0.07227050839385642,0.16562147395926125,0.009064894099842109,0.38318533032993257
swe-rebench-oh-assistant-only,25,0.11284650067929325,0.10370217784671061,0.01901460279486723,0.4115614103700289
jetbrains-swesmith-subset,25,0.5432594592344606,0.20676364926597773,0.19071110902642582,0.31230691673296057
gdpval-tasks,25,0.030479070507719242,0.05381199387991193,0.0016790809472134098,0.34238730498931774
